species,acceptability index,palatability_categorical
Amphipogon caricinus,67,high_palatability
Eragrostis lacunaria,14,low_palatability
Panicum effusum,55,high_palatability
Paspalidium constrictum,7,not_eaten
Stipa variabilis,12,low_palatability
Thyridolepis mitchelliana,31,moderate_palatability
Boerhavia diffusa,25,low_palatability
Calotis cuneifolia,9,not_eaten
Chenopodium anidiophyllum,12,low_palatability
Euphorbia drummondii,74,high_palatability
Goodenia,29,moderate_palatability
Hibiscus,30,moderate_palatability
Sclerolaena diacantha,26,moderate_palatability
Sida,10,not_eaten
Acacia aneura,69,high_palatability
Cassia nemophila,19,low_palatability
Dodonaea viscosa,30,moderate_palatability
Myoporum deserti,55,high_palatability
