Species,Av.Abund,Av.Sim,Sim/SD,Contrib%,Cum.%,
Xanthorrhoea australis,43.00,22.63,1.07,42.36,42.36,
Eucalyptus obliqua,30.77,10.53,0.90,19.72,62.08,
Banksia marginata,9.07,2.94,0.53,5.51,67.59,
Leptospermum myrsinoides,9.03,2.94,0.81,5.50,73.08,
"Treatment - Infested
Average similarity: 45.87",,,,,,
Species,Av.Abund,Av.Sim,Sim/SD,Contrib%,Cum.%,
Eucalyptus obliqua,27.77,12.90,0.70,28.13,28.13,
Spyridium parvifolium,4.70,3.75,0.61,8.16,36.29,
Gahnia radula,6.40,3.67,0.98,7.99,44.28,
Banksia marginata,5.43,2.69,0.87,5.86,50.15,
Xanthorrhoea australis,4.27,2.51,0.70,5.47,55.62,
Isolepis marginata,4.33,2.25,0.74,4.92,60.53,
Lepidosperma semiteres,4.80,2.02,0.65,4.40,64.93,
Acrotriche serrulata,2.87,1.85,0.93,4.03,68.96,
Platylobium obtusangulum,2.70,1.75,0.85,3.81,72.77,
"Treatment – Post-infested
Average similarity: 46.50",,,,,,
Species,Av.Abund,Av.Sim,Sim/SD,Contrib%,Cum.%,
Gahnia radula,9.80,7.48,1.35,16.08,16.08,
Eucalyptus obliqua,15.80,7.26,0.55,15.61,31.69,
Isolepis marginata,8.77,7.02,0.88,15.09,46.78,
Leptospermum myrsinoides,5.30,2.87,0.66,6.17,52.95,
Lepidosperma semiteres,5.43,2.85,0.72,6.12,59.07,
Hypolaena fastigiata,3.60,2.71,0.34,5.83,64.90,
Acrotriche serrulata,2.77,1.67,0.61,3.58,68.48,
Spyridium parvifolium,4.00,1.63,0.50,3.51,72.00,
,,,,,,
Isolepis marginata,10.17,6.77,0.79,13.9,13.9,
Eucalyptus obliqua,21,5.39,0.51,11.05,24.95,
Lepidosperma semiteres,11.63,5.2,1.28,10.67,35.62,
Banksia marginata,12.07,4.74,0.9,9.73,45.35,
Leptospermum myrsinoides,10.57,4.37,0.95,8.96,54.3,
Hypolaena fastigiata,7.7,3.47,1,7.12,61.42,
Platylobium obtusangulum,6.17,2.98,1.35,6.11,67.53,
Gahnia radula,4.83,2.85,0.94,5.84,73.37,
,,,,,,
Species,,Av.Abund,Av.Sim,Sim/SD,Contrib%,Cum.%
Xanthorrhoea australis,,21.03,12.19,0.60,24.17,24.17
Eucalyptus obliqua,,24.20,11.68,0.91,23.17,47.34
Gahnia radula,,11.27,6.86,1.05,13.60,60.94
Spyridium parvifolium,,7.60,5.01,0.82,9.94,70.88
Site 3 –,Hurst Rd 2,,,,,
Average similarity: 46.63,,,,,,
Species,,Av.Abund,Av.Sim,Sim/SD,Contrib%,Cum.%
Eucalyptus obliqua,,29.13,13.62,0.72,29.22,29.22
Xanthorrhoea australis,,20.67,10.58,0.62,22.68,51.90
Gahnia radula,,5.60,4.28,1.70,9.18,61.09
Hypolaena fastigiata,,3.62,2.67,0.33,5.72,66.81
Isolepis marginata,,1.83,1.85,1.14,3.98,70.79
