trait_name,trait_value,plant_growth_form,herb_shrub_tree,forb_graminoid,geophyte
plant_growth_form,basal_large,5,2,NA,0
plant_growth_form,climber,3,1,1,0
plant_growth_form,climber_herbaceous,2,1,1,0
plant_growth_form,climber_woody,4,2,NA,0
plant_growth_form,fern,2,NA,NA,NA
plant_growth_form,geophyte,2,1,NA,1
plant_growth_form,graminoid,1,NA,0,0
plant_growth_form,graminoid_not_tussock,1,NA,0,0
plant_growth_form,herb,1,1,1,0
plant_growth_form,hummock,3,NA,0,0
plant_growth_form,lycophyte,2,NA,NA,0
plant_growth_form,mallee,5,3,NA,0
plant_growth_form,palmoid,5,3,NA,0
plant_growth_form,shrub,4,2,NA,0
plant_growth_form,subshrub,3,2,NA,0
plant_growth_form,tree,6,3,NA,0
plant_growth_form,tussock,2,NA,0,0
