Species,Listing under Biodiversity Conservation Act 2016 or DBCA Priority Flora List,Total Number of plants scored,Disease Score 1 (% total plants),Disease Score 2 (% total plants),Disease Score 3 (% total plants),Disease Score 4 (% total plants),Disease Score 5 (% total plants)
Melaleuca acutifolia,NT,20,10,0,0,20,70
Melaleuca argentea,NT,52,44,23,4,4,25
Melaleuca cajuputi subsp. cajuputi,NT,54,28,15,13,35,9
Melaleuca dempta,P3,11,9,0,0,0,91
Melaleuca fulgens subsp. fulgens,NT,27,18,0,18,7,57
Melaleuca incana subsp. gingilup,P2,41,32,5,5,19,39
Melaleuca lanceolata,NT,27,15,0,18,26,41
Melaleuca lateralis,NT,31,6,0,0,0,94
Melaleuca penicula,P4,32,66,0,0,6,28
Melaleuca similis,P1,45,24,0,0,0,76
Melaleuca sophisma,P1,55,98,0,0,0,2
Melaleuca sp. Wanneroo,EN,80,14,0,0,0,86
Melaleuca viminea subsp. appressa,P2,25,28,0,0,4,68
